247,Qinhuangdao,39.9398,119.5881,China,CHN,3146300
248,Bazhou,31.8576,106.7559,China,CHN,3134000
249,Zhenjiang,32.2109,119.4551,China,CHN,3113384
250,Urumqi,43.8225,87.6125,China,CHN,3112559
251,Tongliao,43.6172,122.264,China,CHN,3094600
252,Heyuan,23.7503,114.6923,China,CHN,3093900
253,Tongren,27.7233,109.1885,China,CHN,3093204
254,Qinzhou,21.95,108.6167,China,CHN,3079721
255,Jaipur,26.9167,75.8667,India,IND,3073350
256,Xinzhou,38.4178,112.7233,China,CHN,3067501
257,Addis Ababa,9.0272,38.7369,Ethiopia,ETH,3041002
258,Meishan,30.0575,103.8381,China,CHN,3020000
259,Brasilia,-15.7939,-47.8828,Brazil,BRA,3015268
260,Mashhad,36.3069,59.6042,Iran,IRN,3001184
261,Jinzhou,41.1144,121.1292,China,CHN,3000000
262,Tieling,42.2841,123.8365,China,CHN,3000000
263,Shaoguan,24.8011,113.5927,China,CHN,2997600
264,Kuwait City,29.375,47.98,Kuwait,KWT,2989000
265,Shanwei,22.7664,115.3331,China,CHN,2993600
266,Minneapolis,44.9635,-93.2678,United States,USA,2977172
267,Kyiv,50.45,30.5236,Ukraine,UKR,2963199
268,Sanaa,15.35,44.2,Yemen,YEM,2957000
269,Quezon City,14.6333,121.0333,Philippines,PHL,2936116
270,Dingxi,35.5806,104.6263,China,CHN,2930000
271,Incheon,37.4639,126.6486,"Korea, South",KOR,2913024
272,Bursa,40.1833,29.0667,Turkey,TUR,2901396
273,Ningde,26.6667,119.5167,China,CHN,2910000
274,Tampa,27.9942,-82.4451,United States,USA,2908063
275,Daqing,46.5979,125.008,China,CHN,2904532
276,Birmingham,52.48,-1.9025,United Kingdom,GBR,2897303
277,Putian,25.4394,119.0103,China,CHN,2900000
278,Huzhou,30.8695,120.0958,China,CHN,2893542
279,Salvador,-12.9708,-38.5108,Brazil,BRA,2886698
280,Wuzhou,23.4833,111.3167,China,CHN,2882200
281,Xiangtan,27.8431,112.9228,China,CHN,2881500
282,Denver,39.7621,-104.8759,United States,USA,2876625
283,Rome,41.8931,12.4828,Italy,ITA,2872800
284,La Paz,-16.4942,-68.1475,Bolivia,BOL,2867504
285,Pyongyang,39.03,125.73,"Korea, North",PRK,2863000
286,Kano,12,8.5167,Nigeria,NGA,2828861
287,Taichung,24.15,120.6667,Taiwan,TWN,2803894
288,Omdurman,15.6835,32.4629,Sudan,SDN,2805396
289,Zigong,29.3498,104.7645,China,CHN,2800000
290,Mudanjiang,44.5861,129.5997,China,CHN,2790000
291,Huludao,40.7094,120.8378,China,CHN,2787000
292,Kaohsiung,22.6167,120.3,Taiwan,TWN,2773533
293,Guayaquil,-2.1833,-79.8833,Ecuador,ECU,2723665
294,Rizhao,35.4164,119.4331,China,CHN,2720000
295,Manchester,53.4794,-2.2453,United Kingdom,GBR,2705000
296,Cawnpore,26.4725,80.3311,India,IND,2701324
297,Baotou,40.6562,109.8345,China,CHN,2700000
298,Taipei,25.0478,121.5319,Taiwan,TWN,2684567
299,Nanping,26.6448,118.1728,China,CHN,2690000
300,Chaozhou,23.67,116.63,China,CHN,2656600
301,Longyan,25.0881,117.0244,China,CHN,2640000
302,Ibadan,7.3964,3.9167,Nigeria,NGA,2628000
303,Hohhot,40.8151,111.6629,China,CHN,2635000
304,Antananarivo,-18.9386,47.5214,Madagascar,MDG,2610000
305,Longba,33.535,105.349,China,CHN,2614000
306,Weihai,37.5,122.1,China,CHN,2596753
307,Chattogram,22.335,91.8325,Bangladesh,BGD,2581643
308,Santo Domingo,18.4764,-69.8933,Dominican Republic,DOM,2581827
309,Xuanzhou,30.9475,118.7518,China,CHN,2580000
310,Sanming,26.2658,117.6302,China,CHN,2580000
311,Brooklyn,40.6501,-73.9496,United States,USA,2559903
312,Yangjiang,21.8556,111.9627,China,CHN,2555600
313,Medellin,6.2447,-75.5748,Colombia,COL,2529403
314,Yunfu,22.9242,112.0353,China,CHN,2526900
315,Brisbane,-27.4678,153.0281,Australia,AUS,2514184
316,Baoshan,25.1211,99.169,China,CHN,2506491
317,Dubai,25.2697,55.3094,United Arab Emirates,ARE,2502715
318,Luohe,33.583,114.0109,China,CHN,2500000
319,Qinbaling,35.7278,107.64,China,CHN,2500000
320,Mirzapur,25.15,82.58,India,IND,2496970
321,Guangyuan,32.4353,105.8398,China,CHN,2484122
322,Cali,3.44,-76.5197,Colombia,COL,2471474
323,Huangshi,30.2018,115.0326,China,CHN,2471700
324,Daegu,35.8667,128.6,"Korea, South",KOR,2461002
325,Fortaleza,-3.7275,-38.5275,Brazil,BRA,2452185
326,Guatemala City,14.6099,-90.5252,Guatemala,GTM,2450212
327,Yaounde,3.8578,11.5181,Cameroon,CMR,2440462
328,Douala,4.05,9.7,Cameroon,CMR,2446945
329,Jilin,43.85,126.55,China,CHN,2396000
330,Lianshan,40.7503,120.83,China,CHN,2426000
331,Lincang,23.8864,100.0871,China,CHN,2429497
332,Antalya,36.9081,30.6956,Turkey,TUR,2426356
333,Tashkent,41.3,69.2667,Uzbekistan,UZB,2424100
334,Bandung,-6.95,107.5667,Indonesia,IDN,2394873
335,Nagpur,21.1539,79.0831,India,IND,2405665
336,Huainan,32.4831,117.0164,China,CHN,2409000
337,Dandong,40.1167,124.3833,China,CHN,2400000
338,Shangzhou,33.868,109.9244,China,CHN,2400000
339,Bekasi,-6.2333,107,Indonesia,IDN,2381053
340,Ghaziabad,28.6667,77.4167,India,IND,2381452
341,Tijuana,32.525,-117.0333,Mexico,MEX,2384609
342,Jiamusi,46.8081,130.3653,China,CHN,2360000
343,Accra,5.6037,-0.187,Ghana,GHA,2291352
344,Yuxi,24.3495,102.5432,China,CHN,2303518
345,Anshun,26.2456,105.934,China,CHN,2297612
346,Vancouver,49.25,-123.1,Canada,CAN,2264823
347,Tangerang,-6.1783,106.6319,Indonesia,IDN,2237006
348,Konya,37.8714,32.4847,Turkey,TUR,2232374
349,Queens,40.7498,-73.7976,United States,USA,2230722
350,Yingkou,40.6653,122.2297,China,CHN,2220000
351,Adana,37,35.325,Turkey,TUR,2220125
352,Medan,3.6667,98.6667,Indonesia,IDN,2210625
353,Sanmenxia,34.7736,111.195,China,CHN,2213000
354,Indore,22.7206,75.8472,India,IND,2201927
355,Ma'anshan,31.7135,118.3605,China,CHN,2202899
356,Pingliang,35.5412,106.6819,China,CHN,2190000
357,Quzhou,28.9545,118.8763,China,CHN,2185000
358,Baku,40.3667,49.8352,Azerbaijan,AZE,2181800
359,Gaoping,30.7804,106.13,China,CHN,2174000
360,Huaibei,33.9562,116.789,China,CHN,2158000
361,Xining,36.6239,101.7787,China,CHN,2154000
362,Harare,-17.8292,31.0522,Zimbabwe,ZWE,2150000
363,Yan'an,36.5952,109.4863,China,CHN,2150000
364,Havana,23.1367,-82.3589,Cuba,CUB,2141652
365,Phnom Penh,11.5696,104.921,Cambodia,KHM,2129371
366,Fukuoka,33.6,130.4167,Japan,JPN,2128000
367,Mogadishu,2.0408,45.3425,Somalia,SOM,2120000
368,Jincheng,35.4906,112.8483,China,CHN,2120000
369,Puning,23.2993,116.1586,China,CHN,2118200
370,Lishui,28.45,119.9167,China,CHN,2116957
371,Qingyang,24.8141,118.5792,China,CHN,2111000
372,Riverside,33.9381,-117.3948,United States,USA,2107852
373,Baltimore,39.3051,-76.6144,United States,USA,2106068
374,Haiphong,20.8,106.6667,Vietnam,VNM,2103500
375,Las Vegas,36.2333,-115.2654,United States,USA,2104198
376,Laibin,23.7333,109.2333,China,CHN,2099711
377,Rawalpindi,33.6007,73.0679,Pakistan,PAK,2098231
378,Kumasi,6.6833,-1.6167,Ghana,GHA,2069350
379,Portland,45.5372,-122.65,United States,USA,2074775
380,Vadodara,22.3,73.2,India,IND,2065771
381,Perth,-31.9522,115.8589,Australia,AUS,2059484
382,San Antonio,29.4658,-98.5253,United States,USA,2049293
383,Vishakhapatnam,17.7333,83.3167,India,IND,2035922
384,Gujranwala,32.15,74.1833,Pakistan,PAK,2027001
385,Gaziantep,37.0667,37.3833,Turkey,TUR,2028563
386,Fushun,41.8708,123.8917,China,CHN,2024000
387,St. Louis,38.6358,-90.2451,United States,USA,2024074
388,Bamako,12.6458,-7.9922,Mali,MLI,2009109
389,Quito,-0.2186,-78.5097,Ecuador,ECU,2011388
390,Minsk,53.9022,27.5618,Belarus,BLR,2009786
391,Pingxiang,27.6333,113.85,China,CHN,2001027
392,Chongzuo,22.4167,107.3667,China,CHN,1994285
393,Sanliurfa,37.1583,38.7917,Turkey,TUR,1985753
394,Kananga,-5.897,22.4488,Congo (Kinshasa),COD,1971704
395,Peshawar,34,71.5,Pakistan,PAK,1970042
396,Sapporo,43.0621,141.3544,Japan,JPN,1961690
397,Hezhou,24.4164,111.5478,China,CHN,1954072
398,Jixi,45.2937,130.965,China,CHN,1950000
399,Caracas,10.5,-66.9333,Venezuela,VEN,1943901
400,Fuxin,42.0127,121.6486,China,CHN,1930000
401,Aleppo,36.2,37.15,Syria,SYR,1916781
