93,Guinea-Bissau,Bissau,Africa,AF,XOF,GNB,2372248,http://localhost:5000/get_country/Guinea-Bissau,http://localhost:5000/get_country/continent/Africa
94,Guyana,Georgetown,South America,SA,GYD,GUY,3378535,http://localhost:5000/get_country/Guyana,http://localhost:5000/get_country/continent/South%20America
95,Hong Kong,Hong Kong,Asia,AS,HKD,HKG,1819730,http://localhost:5000/get_country/Hong%20Kong,http://localhost:5000/get_country/continent/Asia
96,Heard Island and McDonald Islands,Mawson Peak,Antarctica,AN,AUD,HMD,1547314,http://localhost:5000/get_country/Heard%20Island%20and%20McDonald%20Islands,http://localhost:5000/get_country/continent/Antarctica
97,Honduras,Tegucigalpa,North America,NA,HNL,HND,3608932,http://localhost:5000/get_country/Honduras,http://localhost:5000/get_country/continent/North%20America
98,Croatia,Zagreb,Europe,EU,HRK,HRV,3202326,http://localhost:5000/get_country/Croatia,http://localhost:5000/get_country/continent/Europe
99,Haiti,Port-au-Prince,North America,NA,HTG,HTI,3723988,http://localhost:5000/get_country/Haiti,http://localhost:5000/get_country/continent/North%20America
100,Hungary,Budapest,Europe,EU,HUF,HUN,719819,http://localhost:5000/get_country/Hungary,http://localhost:5000/get_country/continent/Europe
101,Indonesia,Jakarta,Asia,AS,IDR,IDN,1643084,http://localhost:5000/get_country/Indonesia,http://localhost:5000/get_country/continent/Asia
102,Ireland,Dublin,Europe,EU,EUR,IRL,2963597,http://localhost:5000/get_country/Ireland,http://localhost:5000/get_country/continent/Europe
103,Israel,Jerusalem,Asia,AS,ILS,ISR,294640,http://localhost:5000/get_country/Israel,http://localhost:5000/get_country/continent/Asia
104,Isle of Man,Douglas,Europe,EU,GBP,IMN,3042225,http://localhost:5000/get_country/Isle%20of%20Man,http://localhost:5000/get_country/continent/Europe
105,India,New Delhi,Asia,AS,INR,IND,1269750,http://localhost:5000/get_country/India,http://localhost:5000/get_country/continent/Asia
106,British Indian Ocean Territory,Camp Justice,Asia,AS,USD,IOT,1282588,http://localhost:5000/get_country/British%20Indian%20Ocean%20Territory,http://localhost:5000/get_country/continent/Asia
107,Iraq,Baghdad,Asia,AS,IQD,IRQ,99237,http://localhost:5000/get_country/Iraq,http://localhost:5000/get_country/continent/Asia
108,Iran,Tehran,Asia,AS,IRR,IRN,130758,http://localhost:5000/get_country/Iran,http://localhost:5000/get_country/continent/Asia
109,Iceland,Reykjavik,Europe,EU,ISK,ISL,2629691,http://localhost:5000/get_country/Iceland,http://localhost:5000/get_country/continent/Europe
110,Italy,Rome,Europe,EU,EUR,ITA,3175395,http://localhost:5000/get_country/Italy,http://localhost:5000/get_country/continent/Europe
111,Jersey,Saint Helier,Europe,EU,GBP,JEY,3042142,http://localhost:5000/get_country/Jersey,http://localhost:5000/get_country/continent/Europe
112,Jamaica,Kingston,North America,NA,JMD,JAM,3489940,http://localhost:5000/get_country/Jamaica,http://localhost:5000/get_country/continent/North%20America
113,Jordan,Amman,Asia,AS,JOD,JOR,248816,http://localhost:5000/get_country/Jordan,http://localhost:5000/get_country/continent/Asia
114,Japan,Tokyo,Asia,AS,JPY,JPN,1861060,http://localhost:5000/get_country/Japan,http://localhost:5000/get_country/continent/Asia
115,Kenya,Nairobi,Africa,AF,KES,KEN,192950,http://localhost:5000/get_country/Kenya,http://localhost:5000/get_country/continent/Africa
116,Kyrgyzstan,Bishkek,Asia,AS,KGS,KGZ,1527747,http://localhost:5000/get_country/Kyrgyzstan,http://localhost:5000/get_country/continent/Asia
117,Cambodia,Phnom Penh,Asia,AS,KHR,KHM,1831722,http://localhost:5000/get_country/Cambodia,http://localhost:5000/get_country/continent/Asia
118,Kiribati,Tarawa,Oceania,OC,AUD,KIR,4030945,http://localhost:5000/get_country/Kiribati,http://localhost:5000/get_country/continent/Oceania
